Vaga,Empresa,Local,DataAnuncio,DataColeta,SumarioVaga,Salario
Motorola - Estágio em Tecnologia - Jaguariúna-SP,CIEE One,Brasil Home,"Inicialmente a vaga será home Office e a empresa disponibiliza os equipamentos.
É por isso também que nós levamos a todos os nossos consumidores uma experiência…",há 28 dias,16-11-2021,R$ 1.650 - R$ 2.000 por mês
Desenvolvedor(a) Júnior (Python),Way2 Technology,"Florianópolis, SC","Essa automação viabiliza a entrega de valor para um dos segmentos que mais crescem no país, o da Geração Elétrica Distribuída.",há 30+ dias,16-11-2021,
,Wise & Trust,"Florianópolis, SC","Estamos em busca de um(a) profissional para nossa vaga de Analista Quantitativo Júnior (Quant Analyst).
Contribuir com o time no desenvolvimento de ferramentas,…",há 5 dias,16-11-2021,
Cientista de Dados Python,GeekHunter,"Florianópolis, SC","Implementar cultura data-driven em nossos parceiros e clientes.
Somos uma empresa focada em orientar clientes na tomada de decisão baseando-se em dados.",há 30+ dias,16-11-2021,R$ 6.500 - R$ 10.000 por mês
Estágio em Análise de Dados,Audaces,"Florianópolis, SC","Na família Audaces temos um ambiente descontraído, com pessoas parceiras, amigas.
A Audaces é referência mundial em inovação tecnológica para a moda.",há 19 dias,16-11-2021,
Analista de Dados,Softplan,"Florianópolis, SC","Disseminar boas práticas de desenvolvimento junto ao time;
Sólida experiência em desenvolvimento na linguagem Python;",há 21 dias,16-11-2021,
Estágio em Desenvolvimento Back End,Dígitro Tecnologia,"Florianópolis, SC",A Dígitro atende clientes em todo o Brasil e também no exterior.,há 30+ dias,16-11-2021,
Desenvolvedor Júnior,Fontes Tech,"Florianópolis, SC","O colaborador irá integrar o time de automação de processos e captura de dados.
Realizar reuniões com o cliente para entender as necessidades de negócio;",há 26 dias,16-11-2021,
,BairesDev,"Florianópolis, SC","These Engineers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc…",Hoje,16-11-2021,
Estágio Desenvolvimento de Software,GnTech,"Florianópolis, SC","Desenvolvimento de software utilizando Python, Django, MongoDB, PostgreSQL, AWS, Azure, API Rest, entre outros.",há 30+ dias,16-11-2021,
Desenvolvedor(a) Full-stack Python,GeekHunter,"Florianópolis, SC","Criar e desenhar estruturas escaláveis e de alta performance na AWS;
Analisar Merge Request e indicar melhoras no código de outros desenvolvedores;",há 18 dias,16-11-2021,R$ 4.900 - R$ 6.500 por mês
Python Developer,CreativeDrive Brazil,"Florianópolis, SC","Successful candidates must have an intermediate knowledge of Phython.
Develop and deploy systems application used in the production process for internal and…",há 30+ dias,16-11-2021,
Analista de Infraestrutura/Devops,Smarket Solutions,"Florianópolis, SC","Realizar a gestão da infraestrutura da Smarket na AWS;
Criar e manter o monitoramento dos nossos servidores e serviços;",há 19 dias,16-11-2021,R$ 5.000 por mês
Estágio em Desenvolvimento Back End,Dígitro,"Florianópolis, SC","Ter disponibilidade para estagiar por no mínimo um ano;
Morar em Florianópolis, São José, Palhoça, Biguaçu e cidades próximas.",há 30+ dias,16-11-2021,
,Custom Informática Ltda,"Florianópolis, SC",A empresa está à procura de um desenvolvedor de sistemas que possa desenvolver relatórios para sistema voltado para Gestão Pública Municipal do estado do Rio de…,há 5 dias,16-11-2021,R$ 2.147 - R$ 5.000 por mês
Pessoa Desenvolvedora de Software Embarcado (Júnior),CERTI,"Florianópolis, SC","Analisar e discutir aspectos técnicos da implementação com a liderança técnica;
Esperamos que você tenha as seguintes habilidades.",há 30+ dias,16-11-2021,
Analista de Dados,Dynamox,"Florianópolis, SC",Identificar pontos de melhoria nos sistemas existentes com base em resultados de análise;,há 30+ dias,16-11-2021,
Desenvolvedor(a) Back-end Python,GeekHunter,"Florianópolis, SC","Trabalhará em conjunto com um time multidisciplinar e focado em encontrar a melhor, mais estável e escalável tecnologia;",há 30+ dias,16-11-2021,R$ 7.000 - R$ 9.000 por mês
Backend Developer (Python),Cognyte,"Florianópolis, SC","Database: SQL e Postgres; Tools; Docker e containers; Ansible; Git/Gitlab.
Specific: VOIP SIP/RTP; BOOST C/C++; API REST.",há 30+ dias,16-11-2021,
,Selecionar Talentos,"Florianópolis, SC","Conhecimento em roteamento em redes Ethernet, WIFI, SDWAN, WAN;
Conhecimento em linguagem de script (Python ou Bash);",há 8 dias,16-11-2021,
Bolsista,PROGRAMA INOVA TALENTOS - IEL,"Florianópolis, SC","Recomendada especialização em Ciência de Dados, Machine Learning, Inteligência Artificial ou ciência cognitiva.",há 30+ dias,16-11-2021,
,BairesDev,"Florianópolis, SC","These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices,…",Hoje,16-11-2021,
Analista de Segurança da Informação,Fontes Tech,"Florianópolis, SC","Atuação com processos de gestão e governança de segurança da informação (planejamento, implantação, atualização e manutenção dos parâmetros de segurança).",há 18 dias,16-11-2021,
,BairesDev,"Florianópolis, SC","These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices,…",Hoje,16-11-2021,
Desenvolvedor(a) Júnior,,"Florianópolis, SC","Desenvolver interfaces gráficas levando em consideração os conceitos de UI/UX do framework;
Integrar o sistema com novos componentes de software.",há 13 dias,16-11-2021,R$ 4.000 por mês
Desenvolvedor de Software (Back/Front),ESSS,"Florianópolis, SC","Desenvolver softwares de simulação computacional para engenharia.
Integrar as bibliotecas desenvolvidas pelo nosso time de desenvolvimento numérico e científico…",há 30+ dias,16-11-2021,
Desenvolvedor(a) Python,GeekHunter,"Florianópolis, SC","Develop and deploy systems application used in the production process for internal and external audiences;
Ensure the coding quality of the developed systems;",há 30+ dias,16-11-2021,R$ 5 por hora
Customer Data Analyst (Remote),Involves,"Florianópolis, SC","Divertida. Empresa de tecnologia de Floripa profissa quando o assunto é solução de trade marketing.
Então, para subir no palco com a gente, é indispensável…",há 21 dias,16-11-2021,
,Norus,"Florianópolis, SC","Na AWS os nossos produtos já utilizam diversos recursos como S3, EC2 on Demand, EC2 Spot, Lambdas, VPC Peering.
Experiência com AWS (Lambda, EC2, ECR);",há 4 dias,16-11-2021,
Desenvolvedor(a) Sênior,,"Florianópolis, SC","Desenvolver interfaces gráficas levando em consideração os conceitos de UI/UX do framework;
Integrar o sistema com novos componentes de software.",há 13 dias,16-11-2021,
Desenvolvedor Salesforce,Atile.digital,"Florianópolis, SC","Nosso propósito é criar tecnologia para melhorar a vida das pessoas.*.
A atile.digital é uma das mais tradicionais consultorias de CRM no Brasil.",há 12 dias,16-11-2021,R$ 2.153 - R$ 5.800 por mês
